settlment_type,oblast,rajon_1941,settlment_name,lat,lon,descr,size,color
село,Кіровоградська,Компанїівський,Тернова Балка,48.2941948,32.2514221,"У таборі утримували військовополонених і цивільне населення. За іншими даними - це табір СД. У ньому утримували 500-700 осіб (за різними джерелами), усі розстріляні.",700,700
місто,Львівська,,Львів,49.839683,24.029717,"У трудовому таборі для єврейського населення, розташованому по вулиці Янівській (за іншими даними - Замарстинівській) утримували 136 тисяч євреїв зі Львова, які працювали на швейній фабриці. Пізніше усі були розстріляні: на Пісковій, під Львовом, а також відвезені у табір смерті неподалік польського села Белжець. 
Гетто ліквідоване на початку червня 1943 року. 
",136000,136000
місто,Житомирська,,Житомир,50.25465,28.6586669,"35 тисяч євреїв зігнали у спеціально відведене місце (вул.Чуднівська, Островська, Кафедральна)",35000,-9999
місто,Вінницька,Бершадський,Бершадь,48.368953999999995,29.533165399999998,"З 25 тисяч осіб, що там утримувалися, 13871 особа загинула ",25000,13871
місто,Волинська,,Луцьк,50.747233,25.325383,"В районі Свято-Покровської церкви у гетто утримували 20-25 тисяч в'язнів, усі розстріляні.",25000,25000
місто,Волинська,"
Володимир-Волинський","
Володимир-Волинський",50.848195200000006,24.3256569,Утримували 15 тисяч осіб,15000,-9999
село,Кам'янець-Подільська ,"
Ярмолинецький",Ярмолинці,49.189578000000004,26.844725399999994,"Восени 1941 року у гетто пригнали 12 тисяч євреїв - жителів міста Городок. За іншими даними, у 1942 році у гетто на території військового містечка утримували 14 тисяч осіб з Ярмолинецького, Михайлівського і Городоцього районів. Восени 1941 пригнали 12 тис. євреїв - жителів м.Городок.",14000,-9999
хутір,Ворошиловоградська,Білолуцький,"Костянтинівка,
Миколаївської с/р",47.09166389999999,31.9222533,У тимчасовому таборі для цивільного населення утримували понад 12 тисяч осіб.,12000,-9999
село,Вінницька,Шпиківський,Печора,48.853946,28.722210999999998,"Табір з села Рогізна у серпні 1943 року перевели в село Печору. Там було знищено 539 осіб, з них 166 дітей. В селі Печора існувало гетто, де було вбито 9450 осіб з 11 тисяч в'язнів.  ",11000,9989
село,Вінницька,Ободівський ,Ободівка,48.401643,29.240791499999997,"
У 1941 році утримували 9 тисяч осіб, з них 5 тисяч вбито. Загалом у гетто знищено 11 тисяч осіб.",9000,11000
місто,Кам'янець-Подільська ,"
Шепетівський","
Шепетівка",50.1757487,27.0559924,"У таборі утримували 6 тисяч євреїв, серед них 4 тисячі дітей. У січні 1942 у табір переведено ще 2 тисячі осіб - з села Судилково Шепетівського району.",6000,-9999
місто,Вінницька,,Могилів-Подільський,48.4584391,27.7929285,"Утримувалося п'ять тисяч осіб, загиблі -  4394 особи",5000,4394
місто,Дрогобицька,"
Нижньо-Устріцький",Нижньо-Устріки,49.4303242,22.594236600000002,"
У табір звозили людей з цілого району (4210 чоловіків), яких розстріляли в селі Береги Дольні, місті Нижньо-Устриках на річці Стрвяжик. Частину людей вивезли у місто Заслав Сянокського повіту Польщі.",4210,4210
місто,Дрогобицька,Добромильський,Добромиль,49.5739,22.7860759,У гетто на деревообробному комбінаті утримували 4 тисячі чоловіків з цивільного населення. 3 тисячі вивезені на знищення у табори Аушвіц і Белжець,4000,3000
смт.,Кам'янець-Подільська ,Деражнянський,Деражня,49.2672882,27.4321477,"
У вересні 1941 утримували 3647
чоловіків, усі розстріляні тієї ж осені",3647,3647
місто,Вінницька,Жмеринський ,Жмеринка,49.0390512,28.108593699999997,"У таборі було увязнено 3 тисячі євреїв, у серпні
1942 з гетто було взято 286 осіб і
розстріляно у місті Брацлав",3000,286
місто,Київська,,Київ,50.4501,30.5234,"У етапному тюремному таборі утримували 2923 осіб. Це була тюрма СД, розташована у приміщенні гестапо.",2923,-9999
смт.,Волинська,"
Любешівський",Любешів,51.75506729999999,25.498235,В таборі утримувалося 2500 євреїв. Розстріляно 1760 євреїв (але в декількох джерелах подається також цифра 2495),2500,2495
місто,Дрогобицька,Рудківський,Рудки,49.6522215,23.486531,"Утримували понад 2200 осіб, померли від голоду - 500 осіб, розстріляно - 1700",2200,2200
місто,Дніпропетровська,,Павлоград,48.52944779999999,35.903257399999994,"На території заводу №359, утримувалося близько двох тисяч осіб, усі в'язні знищені.",2000,2000
місто,Київська,,Київ,50.4501,30.5234,"У Сирецькому концтаборі у грудні 1942 року утримували до 2 тисяч громадян різних національностей, переважно активістів. Ув'язнені працювали на вирубці лісу, будівництві. У 1943 році в таборі було приблизно 1,5 тисяч осіб. У липні 1943 року в'язнцв знищили. Вижили 15 осіб.",2000,1985
місто,Ворошиловоградська,"
Ровеньківський", м.Ровеньки,48.0823858,39.3699771,"У концтаборі на шахті «Михайлівна» утримували 1,5 тисячі в'язнів",1500,-9999
місто,Дрогобицька,,Дрогобич,49.358011600000005,23.5123193,"У таборі, що існував з грудня 1942 до серпня 1943 року, в'язні працювали на підприємстві «Klinker-Zement GmbH, Posen». Там утримували 1 тисячу осіб. З почату грудня1942 року табір переведений до концтабору у Плащові, де в'язні працювали на підприємстві «Beskiden AG».
",1200,-9999
місто,Кіровоградська,Новомиргородський,"Новомиргород
(Златопіль)",48.8151909,31.6485227,"У концтаборі, розташованому у будинку дитячої колонії, утримувалося 1200 осіб",1200,-9999
село,Кіровоградська,Олександрівський,Олександрівка,48.961439299999995,32.2318643,"У таборі перебували 1059 осіб, яких мали примусово вивезти до Німеччини, 468 з них втекли.",1059,-9999
село,Вінницька,Ободівський ,Павлівка,50.6211008,24.4598077,"Знищено 892 осіб з 1005 пригнаних з Бессарабії, Буковини",1005,892
місто,Дніпропетровська,,"Дніпродзержинськ
(Нове Містечко)",48.523117,34.613683,У бараках заводу ім.Дзержинського утримували понад 1 тисячу осіб. Закатовано і розстріляно 75 людей.,1000,75
село,Дніпропетровська,Павлоградський,"Павлоградські
хутори",49.372873,32.0323089,У таборі на Павлоградських хуторах на території артилерійського полігону та заводу № 359 утримували близько 1 тисячі осіб. В'язнів планомірно знищували.,1000,-9999
місто,Ізмаїльська,,Ізмаїл,45.3501944,28.8501919,"З серпня до вересня утримували 52 чоловіка. Загалом протягом окупації утримували понад 1 тисячу чоловіків. 

",1000,-9999
місто,Ізмаїльська,Болградський,Болград,45.683843100000004,28.6143107,"У приміщенні синагоги був концтабір для єврейських чоловіків віком від 14 років. Там утримували понад одну тисячу осіб. У серпні-вересні 1941 року утримували 363 особи, вбито 100 осіб",1000,100
село,Вінницька,Бершадський,Лугова,49.250541299999995,28.540884499999997,"Табір, де утримувалось 935 євреїв з Бесарабії, 673 із них загинуло",935,673
село,Вінницька,Копайгородський ,Кошаринці,48.4897301,29.4481641,"Утримувалося 800 осіб, від катувань померло
750 осіб",800,750
село,Вінницька,Бершадський,Шумилів,48.4770799,29.677616999999998,"В конюшнях, свинарниках утримувалися євреї: 750, з них 448 осіб загинуло",750,448
село,Дніпропетровська,Новомосковський,Новоселівка,48.7087354,29.323006899999996,У концтаборі для цивільного населення утримували 750 осіб,750,-9999
село,Вінницька,Бершадський,Бирлівка,50.085713500000004,32.064507,"У курятнику та свинарнику
утримувалось 700 осіб з Бесарабії, Буковини,
407 із них загинуло",700,407
місто,Житомирська,,Бердичів,49.910659100000004,28.590031300000003,"В серпні 1943 утримували 500 жінок з місцевого населення, 100 євреїв, 50 інших в'язнів (чоловіків). Усіх розстріляли перед наступом Червоної Армії.",650,650
село,Вінницька,Бершадський,Маньківка,48.9614468,30.3375126,"У свинарниках і курятниках утримувалось 640 євреїв, загинуло 556 осіб",640,556
село,Вінницька,Копайгородський ,Українське,48.821636,27.836810999999997,"Утримувалося 600 осіб з Буковини, Бесарабії,
від голоду померло 315 осіб",600,315
село,Кіровоградська,Новоархангельський,Мар'янівка,50.45123220000001,24.8047893,"Табір для цив.нас., утримувалося 600
чол., усі знищені",600,-9999
місто,Ворошиловоградська,Понаснянський ,м.Попасна,48.6282422,38.372715299999996,"На території кар'єроуправління «Головскло»,
утримували 525 в'язнів, усі розстріляні",525,525
село,Дніпропетровська,Софіївський,Любимівка,46.8071439,33.569847100000004,У таборі було увязнено 500 осіб. До січня 1943 року знищено близько 1 тисячі євреїв,500,1000
село,Вінницька,Копайгородський ,Шевченкове,49.195293,31.0955557,"Утримували 450 євреїв, висланих з Бесарабії, Північної Буковини, від катувань померло 350 осіб.",450,350
